"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Spinach souffle","172","7.89","5.9","12.95"
"Spinach souffle","128","5.72","7.13","8.64"
"Spinach, canned, cooked, fat added, NS as to fat type","45","2.74","3.31","3.04"
"Spinach, cooked, boiled, drained, with salt","23","2.97","3.75","0.26"
"Spinach, creamed","90","2.39","6.11","6.09"
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt","34","4.01","4.8","0.87"
"Spinach, frozen, cooked, fat added, NS as to fat type","56","3.89","4.65","3.39"
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve","71","3.85","11.83","0.92"
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve","68","4","11.4","0.7"
"Split peas, from dried, fat added","168","7.75","19.61","6.87"
"Split peas, from dried, no added fat","117","8.29","20.97","0.39"
"Spoonbread","166","6.68","18.55","7.06"
"Sports drink (Gatorade G)","26","0","6.43","0"
"Sports drink (Powerade)","32","0","7.84","0.05"
"Sports drink, dry concentrate, not reconstituted","380","0","97.9","1.01"
"Sports drink, low calorie","8","0.05","1.94","0.01"
"Sports drink, low calorie (Powerade Zero)","0","0","0.14","0"
"Sports drink, NFS","26","0","6.43","0"
"Sprouts, NFS","30","3.04","5.94","0.18"
"Squab, (pigeon), light meat without skin, raw","134","21.76","0","4.52"
"Squab, (pigeon), meat and skin, raw","294","18.47","0","23.8"
"Squab, (pigeon), meat only, raw","142","17.5","0","7.5"
"Squash, summer, all varieties, cooked, boiled, drained, with salt","20","0.91","4.31","0.31"
"Squash, summer, casserole with tomato and cheese","85","3.48","8.87","4.32"
"Squash, summer, casserole, with rice and tomato sauce","83","2.32","14.9","1.66"
"Squash, summer, souffle","125","4.65","6.87","8.94"
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt","14","1.15","2.97","0.13"
"Squash, summer, zucchini, italian style, canned","29","1.03","6.85","0.11"
"Squash, winter, acorn, cooked, baked, with salt","56","1.12","14.58","0.14"
"Squash, winter, acorn, cooked, boiled, mashed, with salt","34","0.67","8.79","0.08"
"Squash, winter, butternut, frozen, cooked, boiled, with salt","39","1.23","10.04","0.07"
"Squash, winter, butternut, raw","45","1","11.69","0.1"
"Squash, winter, hubbard, baked, with salt","50","2.48","10.81","0.62"
"Squash, winter, hubbard, raw","40","2","8.7","0.5"
"Squash, winter, souffle","78","3.4","12.14","2.26"
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt","27","0.66","6.46","0.26"
"Squash, zucchini, baby, raw","21","2.71","3.11","0.4"
"Squirrel","172","30.53","0","4.65"
"Squirrel, ground, meat (Alaska Native)","111","19.3","0","3.8"
"Starfruit, raw","31","1.04","6.73","0.33"
"Steak sandwich or sub on wheat","247","18.93","23.49","8.27"
"Steak sandwich or sub on white","249","17.91","25.45","8.07"
"Steak sauce","95","1.25","22.04","0.23"
"Steak tartare","216","17.45","0.34","15.6"
"Steak teriyaki","198","28.86","1.94","8.25"
"Steak, NS as to type of meat, NS as to fat eaten","230","26.95","0","12.99"
"Steelhead trout, boiled, canned (Alaska Native)","159","21.11","0","8.26"
"Steelhead trout, dried, flesh (Shoshone Bannock)","382","77.27","0","8.06"
"Stew, beef, canned","100","5","6.54","5.96"
"Stew, beef, with pasta","132","9.76","10.81","5.23"
"Stew, chicken","84","9.24","6.29","2.34"
"Stew, chicken, with pasta","108","10.24","10.81","2.49"
"Stew, dumpling with mutton (Navajo)","101","8.71","8.03","3.78"
"Stew, fish","46","7.63","2.75","0.42"
"Stew, hominy with mutton (Navajo)","83","6.71","9.38","2.06"
"Stew, lamb","117","8.19","6.29","6.39"
"Stew, moose (Alaska Native)","55","6.6","6","0.5"
"Stew, mutton, corn, squash (Navajo)","103","8.62","7.27","4.34"
"Stew, pinto bean and hominy, badufsuki (Hopi)","32","1.42","5.38","0.54"
"Stew, steamed corn (Navajo)","112","8.82","10.8","3.75"
"Stew, vegetable","47","1.41","10.07","0.24"
"Stew/soup, caribou (Alaska Native)","41","3.8","4.8","0.7"
"Stewed chicken with tomato-based sauce, Mexican style","120","11.98","2.48","7.06"
"Stewed chitterlings, Puerto Rican style","214","8.38","3.83","18.5"
"Stewed dried beef, Puerto Rican style","258","17.69","3.91","19.13"
"Stewed gizzards, Puerto Rican style","179","20.26","4.41","8.69"
"Stewed goat, Puerto Rican style","265","22.32","1.98","18.08"
"Stewed pig's feet, Puerto Rican style","136","9.99","4.13","8.7"
"Stewed pork, Puerto Rican style","200","17.91","2.75","12.69"
"Stewed potatoes","103","1.99","16.26","3.39"
"Stewed potatoes with tomatoes","87","1.71","12.89","3.29"
"Stewed potatoes, Puerto Rican style","115","2.09","18.75","3.71"
"Stewed rabbit, Puerto Rican style,","214","17.14","6.83","12.7"
"Stewed rice, Puerto Rican style","224","3.96","33.43","7.8"
"Stewed salmon, Puerto Rican style","146","12.02","8.47","7.02"
"Stewed seasoned ground beef, Mexican style","169","14.27","1.28","11.38"
"Stewed seasoned ground beef, Puerto Rican style","278","13.75","3.83","22.81"
"Stewed tripe, with potatoes, Puerto Rican style","109","8.56","9.49","4.05"
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style","143","12.84","4.16","8.02"
"Stewed, seasoned, ground beef and pork, Mexican style","139","16.7","1.45","6.98"
"Stewed, seasoned, ground beef with potatoes, Mexican style","137","10.42","5.6","7.88"
"Stinging Nettles, blanched (Northern Plains Indians)","42","2.71","7.49","0.11"
"Stir fried beef and vegetables in soy sauce","102","10.73","4.44","4.81"
"Strawberries, canned, heavy syrup pack, solids and liquids","92","0.56","23.53","0.26"
"Strawberries, frozen, sweetened, sliced","96","0.53","25.92","0.13"
"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)","35","0.43","9.13","0.11"
"Strawberries, raw","31","0.64","7.63","0.22"
"Strawberry beverage powder, dry mix, not reconstituted","389","0.1","99.1","0.2"
"Strawberry drink syrup","261","0","65.1","0.02"
"Strawberry juice, 100%","23","0.42","5.17","0.14"
"Strawberry milk, fat free  (skim)","61","3.18","12.06","0.09"
"Strawberry milk, NFS","65","3.2","8.54","2.06"
"Strawberry milk, reduced fat (2%)","71","3.16","10.7","1.8"
"Strawberry milk, reduced sugar","59","3.27","6.72","2.1"
"Strawberry milk, whole","86","3.03","11.79","2.97"
"Strawberry-flavor beverage mix, powder","389","0.1","99.1","0.2"
"Strudel, apple","274","3.3","41.1","11.2"
"Strudel, apple","281","1.96","37.18","14.08"
"Strudel, berry","291","2.43","39.23","14.24"
"Strudel, cheese","358","5.85","39.14","19.81"
"Strudel, cherry","296","2.22","40.68","14.1"
"Stuffed cabbage rolls with beef and rice","114","8.3","8.83","5.06"
"Stuffed cabbage, with meat and rice, Syrian dish, Puerto Rican style","84","3.14","11.14","2.95"
"Stuffed cabbage, with meat, Puerto Rican style","207","9.56","8.41","15.13"
"Stuffed chicken, drumstick or breast, Puerto Rican style","236","28.4","6.51","10.54"
"Stuffed grape leaves with beef and rice","228","8.15","11.3","17.03"
"Stuffed grape leaves with lamb and rice","271","8.17","11.89","21.52"
"Stuffed green pepper, Puerto Rican style","152","8.89","15.63","5.84"
"Stuffed jalapeno pepper","241","8.82","16.5","15.93"
"Stuffed pepper, with meat","198","9.2","4.23","15.87"
"Stuffed pepper, with rice and meat","178","7.83","9.93","11.66"
"Stuffed pepper, with rice, meatless","166","3.75","12.02","11.28"
"Stuffed shells, cheese- and spinach- filled, no sauce","187","9.56","22.36","6.63"
"Stuffed shells, cheese-filled, no sauce","205","9.93","22.21","8.51"
"Stuffed shells, cheese-filled, with meat sauce","158","8.46","16.64","6.54"
"Stuffed shells, cheese-filled, with tomato sauce, meatless","146","7","16.88","5.76"
"Stuffed shells, with chicken, with tomato sauce","136","10.76","16.3","3.36"
"Stuffed shells, with fish and/or shellfish, with tomato sauce","116","8.85","16.11","1.94"
"Stuffed tomato, with rice and meat","99","4.75","9.86","4.54"
"Stuffed tomato, with rice, meatless","77","1.59","13.05","2.15"
"SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato","205","10.06","26.66","6.41"
"SUBWAY, black forest ham sub on white bread with lettuce and tomato","151","9.12","22.91","2.53"
"SUBWAY, cold cut sub on white bread with lettuce and tomato","214","10.52","20.43","10.04"
"SUBWAY, meatball marinara sub on white bread (no toppings)","219","9.77","26.01","8.45"
"SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato","157","10.84","21.35","3.15"
"SUBWAY, roast beef sub on white bread with lettuce and tomato","155","12.17","20.34","2.73"
"SUBWAY, steak & cheese sub on white bread with American cheese, lettuce and tomato","183","12.29","21.49","5.34"
"SUBWAY, sweet onion chicken teriyaki sub on white bread with lettuce, tomato and sweet onion sauce","155","10.91","22.54","2.37"
"SUBWAY, tuna sub on white bread with lettuce and tomato","221","12.33","15.95","12.04"
"Succotash, (corn and limas), canned, with cream style corn","77","2.64","17.61","0.54"
"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids","63","2.6","13.98","0.49"
"Succotash, (corn and limas), cooked, boiled, drained, with salt","111","5.07","24.37","0.8"
"Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt","93","4.31","19.95","0.89"
"Sugar cane beverage","74","0","20.17","0"
"Sugar substitute and sugar blend","399","0","99.35","0.31"
"Sugar substitute, aspartame, powder","365","2.17","89.08","0"
"Sugar substitute, liquid, NFS","51","0.8","11.99","0"
"Sugar substitute, monk fruit, powder","0","0","100","0"
"Sugar substitute, powder, NFS","349","0.66","90.14","0"
"Sugar substitute, saccharin, liquid","8","0.02","2.05","0"
"Sugar substitute, saccharin, powder","360","0.94","89.11","0"
"Sugar substitute, sucralose, powder","336","0","91.17","0"
"Sugar-apples, (sweetsop), raw","94","2.06","23.64","0.29"
"Sugar, brown","380","0.12","98.09","0"
"Sugar, turbinado","399","0","99.8","0"
"Sugars, brown","380","0.12","98.09","0"
"Sugars, granulated","385","0","99.6","0.32"
"Sugars, maple","354","0.1","90.9","0.2"
"Summer squash, green, raw","17","1.21","3.11","0.32"
"Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type","35","0.6","2.86","2.6"
"Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type","47","1.27","3.99","3.33"
"Summer squash, yellow or green, fresh, cooked, no added fat","21","1.3","4.1","0.35"
"Sun-dried tomatoes","258","14.11","55.76","2.97"
"Sunflower oil","900","0","0","100"
"Sunflower seeds, flavored","567","18.45","25.92","47.56"
"Sunflower seeds, NFS","582","19.33","24.07","49.8"
"Sushi roll tuna","97","7.4","15.3","0.26"
"Sushi roll, avocado","93","1.8","17.65","1.47"
"Sushi roll, California","94","2.92","18.39","0.67"
"Sushi roll, eel","116","5.95","15.3","2.98"
"Sushi roll, salmon","103","6.88","15.3","1.28"
"Sushi, NFS","94","2.92","18.39","0.67"
"Sushi, topped with eel","126","7.6","13.39","4.16"
"Sushi, topped with egg","119","7.32","10.25","5.23"
"Sushi, topped with salmon","107","8.92","13.39","1.74"
"Sushi, topped with shrimp","103","9.1","13.91","0.7"
"Swedish meatballs with cream or white sauce","170","12.48","6.29","10.3"
"Sweet and sour chicken or turkey","250","10.1","23.86","12.65"
"Sweet and sour pork","260","8.88","25.5","13.6"
"Sweet and sour pork with rice","187","9.81","16.46","8.83"
"Sweet and sour sauce","154","0.27","38.22","0.02"
"Sweet and sour shrimp","172","5.92","16.19","9.22"
"Sweet potato chips","529","2.92","56.54","32.19"
"Sweet potato fries, fast food / restaurant","305","1.92","31.63","23.93"
"Sweet potato fries, from fresh","156","1.49","16.35","9.42"
"Sweet potato fries, frozen","192","2.27","37.45","9.39"
"Sweet potato leaves, cooked, steamed, with salt","35","2.18","7.38","0.34"
"Sweet potato leaves, raw","42","2.49","8.82","0.51"
"Sweet potato paste","305","0.49","75.14","0.34"
"Sweet Potato puffs, frozen, unprepared","161","1.36","30.72","3.58"
"Sweet potato tots","191","2.26","37.3","9.35"
"Sweet potato tots, fast food / restaurant","240","2.12","34.87","15.6"
"Sweet potato, baked, fat added","115","1.58","17.14","4.53"
"Sweet potato, candied","187","1.18","37.69","3.48"
"Sweet potato, canned, fat added","124","1.58","20.05","4.35"
"Sweet potato, canned, syrup pack, drained solids","108","1.28","25.36","0.32"
"Sweet potato, casserole or mashed","99","1.89","17.22","2.56"
"Sweet potato, cooked, baked in skin, flesh, with salt","90","2.01","20.71","0.15"
"Sweet potato, cooked, boiled, without skin, with salt","76","1.37","17.72","0.14"
"Sweet potato, cooked, candied, home-prepared","164","0.89","32.12","3.54"
"Sweet potato, frozen, cooked, baked, with salt","100","1.71","23.4","0.12"
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked","57","2.12","7.15","2.88"
"Sweet Potatoes, french fried, crosscut, frozen, unprepared","209","1.7","25.52","11.1"
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing","182","2.16","35.58","8.92"
"Sweet rolls, cheese","360","7.1","43.7","18.3"
"Sweet rolls, cinnamon, commercially prepared with raisins","372","6.2","50.9","16.4"
"Sweet rolls, cinnamon, refrigerated dough with frosting","333","5","51.6","12.2"
"Sweet rolls, cinnamon, refrigerated dough with frosting, baked","362","5.4","56.1","13.2"
"Sweetbreads","124","22.49","0","3.08"
"Sweetener, herbal extract powder from Stevia leaf","0","0","100","0"
"Sweetener, syrup, agave","310","0.09","76.37","0.45"
"Sweeteners, for baking, brown, contains sugar and sucralose","388","0","97.11","0"
"Sweeteners, sugar substitute, granulated, brown","347","2.06","84.77","0"
"Sweeteners, tabletop, aspartame, EQUAL, packets","365","2.17","89.08","0"
"Sweeteners, tabletop, fructose, dry, powder","368","0","100","0"
"Sweeteners, tabletop, fructose, liquid","279","0","76.1","0"
"Sweeteners, tabletop, saccharin (sodium saccharin)","360","0.94","89.11","0"
"Sweeteners, tabletop, sucralose, SPLENDA packets","336","0","91.17","0"
"Swiss steak","115","15.48","3.67","4.42"
"Swiss steak, with gravy, meatless","180","12.69","14.13","8.09"
"Swisswurst, pork and beef, with swiss cheese, smoked","307","12.69","1.6","27.37"
"Syrup, Cane","269","0","73.14","0"
"Syrup, fruit flavored","261","0","65.1","0.02"
"Syrup, maple, Canadian","270","0","67.38","0"
"Syrup, NFS","265","0","69.6","0.1"
"Syrups, chocolate, fudge-type","350","4.6","62.9","8.9"
"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup","153","1.4","34.56","0.97"
"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup","43","2.87","14.2","2.03"
"Syrups, corn, dark","286","0","77.59","0"
"Syrups, corn, high-fructose","281","0","76","0"
"Syrups, grenadine","268","0","66.91","0"
"Syrups, malt","318","6.2","71.3","0"
"Syrups, sorghum","290","0","74.9","0"
"Syrups, sugar free","51","0.8","11.99","0"
"Syrups, table blends, corn, refiner, and sugar","319","0","83.9","0"
"Syrups, table blends, pancake","234","0","61.47","0"
"Syrups, table blends, pancake, reduced-calorie","165","0","44.55","0"
"Syrups, table blends, pancake, with 2% maple","265","0","69.6","0.1"
"Syrups, table blends, pancake, with butter","291","0","72.43","0.09"
"Szechuan beef","105","7.08","7.29","5.3"
"T.G.I. FRIDAY'S, chicken fingers","325","18.68","16.84","20.31"
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)","196","31.02","0.47","7.83"
"T.G.I. FRIDAY'S, french fries","296","3.74","36.9","14.82"
"T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded","302","11.87","20.87","19.02"
"T.G.I. FRIDAY'S, fried mozzarella","333","15.82","25.33","18.76"
"T.G.I. FRIDAY'S, macaroni & cheese, from kid's menu","121","5.03","17.4","3.45"
"Tabbouleh","127","1.64","9.65","9.66"
"Table fat, NFS","677","0.58","0.36","75.33"
"TACO BELL, Bean Burrito","209","7.35","31.23","6.05"
"TACO BELL, BURRITO SUPREME with beef","183","7.03","23.37","6.8"
"TACO BELL, BURRITO SUPREME with chicken","179","9.84","20.51","6.42"
"TACO BELL, Nachos","350","4.32","34.91","21.5"
"TACO BELL, Nachos Supreme","223","6.21","21.39","12.48"
"TACO BELL, Original Taco with beef, cheese and lettuce","229","8.86","19.85","12.7"
"TACO BELL, Soft Taco with beef, cheese and lettuce","206","9.25","20.23","9.75"
"TACO BELL, Soft Taco with chicken, cheese and lettuce","189","13.3","19.69","6.35"
"TACO BELL, Soft Taco with steak","225","11.81","17.22","12.1"
"TACO BELL, Taco Salad","170","6.69","15.1","9.17"
"Taco or tostada salad with chicken","167","7.83","16.29","8.02"
"Taco or tostada salad with chicken and sour cream","171","7.24","14.96","9.26"
"Taco or tostada salad with meat","179","7.45","16.49","9.32"
"Taco or tostada salad with meat and sour cream","181","6.91","15.12","10.4"
"Taco or tostada salad, meatless","163","5.28","19.3","7.36"
"Taco or tostada salad, meatless with sour cream","167","5","17.56","8.7"
"Taco sauce","11","1.16","0.72","0.68"
"Taco shell, corn","476","6.41","63.49","21.79"
"Taco shell, flour","511","8.83","53.2","29.07"
"Taco shells, baked","476","6.41","63.49","21.79"
"Taco shells, baked, without added salt","468","7.2","62.4","22.6"
"Taco, cheese only","275","12.19","27.75","13.45"
"Taco, corn tortilla, beef, cheese","249","15.47","15.3","13.94"
"Taco, corn tortilla, beef, with beans, cheese","212","10.63","19.14","10.61"
"Taco, corn tortilla, chicken, cheese","211","16.23","15.3","9.6"
"Taco, corn tortilla, chicken, with beans, cheese","193","11.02","19.14","8.44"
"Taco, corn tortilla, with beans, cheese","176","5.8","22.99","7.28"
"Taco, fish","275","11.62","22.99","15.29"
"Taco, flour tortilla, beef, cheese","257","16.71","18.87","12.27"
"Taco, flour tortilla, beef, with beans, cheese","221","11.85","22.73","8.92"
"Taco, flour tortilla, chicken, cheese","220","17.48","18.87","7.91"
"Taco, flour tortilla, chicken, with beans, cheese","202","12.24","22.73","6.74"
"Taco, flour tortilla, with beans, cheese","184","6.99","26.59","5.57"
